alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,11.18,3.16,-11.18,3.16,0.26,0.02
10.0,3.75,3.34,-2.71,4.23,0.28,0.03
20.0,5.65,3.43,4.68,4.66,0.26,0.04
30.0,13.98,4.99,13.98,4.99,0.26,0.01
40.0,21.1,5.04,21.1,5.04,0.26,0.04
50.0,27.05,6.49,27.05,6.49,0.32,0.05
60.0,38.58,5.26,38.58,5.26,0.31,0.04
70.0,43.88,4.88,43.88,4.88,0.29,0.03
80.0,53.01,6.48,53.01,6.48,0.33,0.07
90.0,61.23,7.91,61.23,7.91,0.36,0.1
100.0,70.14,7.14,70.14,7.14,0.34,0.05
