alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,0.72,0.23,-0.72,0.23,0.29,0.02
10.0,1.0,0.45,-0.98,0.48,0.54,0.02
20.0,2.64,1.5,-2.6,1.56,0.68,0.02
30.0,12.56,4.91,-12.56,4.91,0.77,0.02
40.0,12.85,4.56,-12.85,4.56,0.86,0.03
50.0,15.21,4.5,-15.21,4.5,0.95,0.03
60.0,15.22,3.96,-15.22,3.96,1.02,0.03
70.0,12.63,3.78,-12.63,3.78,1.13,0.04
80.0,11.11,4.82,-11.11,4.82,1.2,0.04
90.0,7.15,3.38,-6.78,4.08,1.25,0.04
100.0,1.57,2.91,1.57,2.91,1.28,0.04
