alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,16.2,3.54,-16.2,3.54,22.27,2.48
10.0,15.59,3.13,-15.59,3.13,21.77,2.26
20.0,15.63,3.03,-15.63,3.03,22.77,2.31
30.0,14.77,3.34,-14.77,3.34,22.77,2.32
40.0,14.54,3.54,-14.54,3.54,22.55,2.67
50.0,14.31,4.01,-14.31,4.01,23.22,1.42
60.0,14.7,5.0,-14.69,5.03,23.53,1.36
70.0,14.24,5.42,-14.24,5.42,24.18,1.76
80.0,13.19,5.17,-13.18,5.2,25.0,1.82
90.0,10.7,3.28,-10.51,3.85,23.93,1.54
100.0,0.9,1.48,0.9,1.48,24.02,1.15
