alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,15.85,3.11,-15.85,3.11,14.42,0.91
10.0,14.12,3.2,-14.12,3.2,13.35,0.69
20.0,12.18,3.08,-12.18,3.08,13.39,0.76
30.0,10.49,3.47,-10.49,3.47,13.66,0.71
40.0,12.48,6.05,-12.48,6.05,13.7,0.8
50.0,12.85,2.17,-12.85,2.17,12.77,0.95
60.0,9.77,2.24,-9.77,2.24,13.12,0.89
70.0,7.02,2.23,-7.02,2.23,13.71,0.72
80.0,5.13,2.46,-5.03,2.65,13.87,0.95
90.0,2.61,5.74,0.55,6.28,14.49,1.2
100.0,34.07,19.59,34.07,19.59,12.28,0.95
