alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,20.54,4.67,-20.54,4.67,1.77,0.23
10.0,23.17,5.19,-23.17,5.19,1.79,0.25
20.0,26.15,6.26,-26.15,6.26,1.9,0.22
30.0,27.29,6.34,-27.29,6.34,1.89,0.18
40.0,27.72,6.73,-27.72,6.73,1.86,0.24
50.0,27.75,6.54,-27.75,6.54,1.95,0.19
60.0,24.44,6.11,-24.44,6.11,1.82,0.22
70.0,20.93,5.18,-20.93,5.18,1.8,0.21
80.0,16.43,4.74,-16.43,4.74,1.84,0.22
90.0,11.3,3.68,-11.28,3.71,1.95,0.23
100.0,3.48,3.11,3.48,3.11,1.9,0.22
