alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,98.7,11.18,-98.7,11.18,0.44,0.01
10.0,89.55,7.01,-89.55,7.01,0.44,0.01
20.0,79.76,4.92,-79.5,8.13,0.44,0.01
30.0,69.71,5.17,-69.03,11.0,0.45,0.01
40.0,59.54,5.6,-58.04,14.42,0.46,0.01
50.0,50.57,0.15,-49.91,8.13,0.47,0.01
60.0,40.93,1.5,-40.14,8.14,0.48,0.01
70.0,31.67,3.42,-30.08,10.46,0.49,0.01
80.0,22.46,4.52,-21.43,8.11,0.5,0.01
90.0,14.75,0.93,-14.75,0.93,0.51,0.03
100.0,1.33,11.47,1.33,11.47,0.54,0.01
