alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,18.67,3.3,-18.67,3.3,5.41,0.36
10.0,14.37,2.98,-14.37,2.98,5.31,0.42
20.0,12.66,2.53,-12.66,2.53,5.55,0.47
30.0,10.27,2.41,-10.15,2.87,5.8,0.47
40.0,7.46,2.56,-7.4,2.72,5.54,0.55
50.0,4.64,3.03,-3.81,4.02,5.17,0.5
60.0,4.66,7.45,2.36,8.47,5.44,0.58
70.0,11.61,12.35,11.52,12.43,5.59,0.59
80.0,40.08,19.49,40.08,19.49,4.81,0.78
90.0,70.11,14.74,70.11,14.74,3.67,0.56
100.0,91.7,11.83,91.7,11.83,3.64,0.64
