alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,20.91,1.19,-20.91,1.19,86.34,5.34
10.0,17.9,1.66,-17.9,1.66,87.56,5.72
20.0,15.48,2.81,-15.48,2.81,87.22,5.3
30.0,13.74,3.66,-13.74,3.66,86.73,5.72
40.0,10.72,3.98,-10.72,3.98,89.07,5.61
50.0,8.86,4.79,-8.76,4.98,88.76,5.36
60.0,7.57,4.49,-6.51,5.91,87.06,5.94
70.0,7.06,4.55,-4.24,7.25,85.83,5.11
80.0,6.95,4.46,-3.2,7.61,85.69,5.7
90.0,8.22,4.34,-4.6,8.07,85.12,5.77
100.0,4.13,6.67,4.13,6.67,85.95,5.02
