alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,18.43,4.85,-18.43,4.85,7.0,0.83
10.0,17.75,4.52,-17.48,5.49,6.62,0.76
20.0,17.47,5.05,-17.41,5.26,6.56,0.85
30.0,16.33,4.7,-16.33,4.7,6.52,0.8
40.0,15.45,4.11,-15.45,4.11,6.75,0.86
50.0,14.5,4.82,-14.43,5.03,6.74,0.82
60.0,13.46,4.69,-13.12,5.56,6.89,0.74
70.0,11.97,4.64,-7.3,10.56,6.72,0.88
80.0,16.37,19.2,9.55,23.36,5.94,1.09
90.0,51.61,33.98,51.47,34.2,4.91,1.09
100.0,76.32,33.06,76.32,33.06,4.73,0.86
