alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,23.39,0.73,-23.39,0.73,89.37,7.94
10.0,21.07,0.86,-21.07,0.86,87.64,3.46
20.0,18.77,1.62,-18.77,1.62,87.56,3.81
30.0,16.11,2.43,-16.11,2.43,88.23,3.83
40.0,13.73,2.77,-13.56,3.49,86.84,4.0
50.0,11.39,2.95,-10.47,5.37,84.02,3.69
60.0,8.97,3.77,-8.72,4.32,83.48,3.55
70.0,7.11,5.08,-6.63,5.7,83.91,3.63
80.0,6.34,5.09,-4.72,6.62,84.46,3.69
90.0,6.43,3.56,-4.33,5.94,83.5,3.38
100.0,1.9,3.35,1.9,3.35,85.21,4.16
