alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,7.9,3.21,-7.9,3.21,4.77,0.89
10.0,8.8,2.21,-8.8,2.21,4.4,0.82
20.0,11.37,2.38,-11.37,2.38,4.14,0.72
30.0,11.83,1.8,-11.83,1.8,4.13,0.65
40.0,11.47,1.92,-11.47,1.92,3.92,0.63
50.0,12.66,2.66,-12.66,2.66,4.1,0.52
60.0,14.21,3.04,-14.21,3.04,4.03,0.68
70.0,15.77,3.5,-15.77,3.5,3.89,0.65
80.0,16.42,2.78,-16.42,2.78,3.73,0.59
90.0,10.0,1.12,-10.0,1.12,4.16,0.61
100.0,0.17,0.55,0.17,0.55,4.02,0.68
