alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,37.34,2.23,-37.34,2.23,105.1,1.71
10.0,34.27,1.97,-34.27,1.97,106.37,2.24
20.0,31.04,2.07,-31.04,2.07,107.68,3.41
30.0,27.95,1.8,-27.95,1.8,108.34,1.71
40.0,24.53,1.99,-24.53,1.99,106.97,1.67
50.0,22.06,2.52,-22.06,2.52,105.96,1.55
60.0,18.59,2.51,-18.59,2.51,106.24,1.58
70.0,15.24,2.72,-15.24,2.72,107.95,2.34
80.0,11.9,2.25,-11.9,2.25,107.36,2.4
90.0,9.42,1.96,-9.42,1.96,105.85,1.68
100.0,0.83,1.34,0.83,1.34,104.54,2.17
