alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,12.88,2.33,-12.88,2.33,115.87,3.01
10.0,8.83,2.47,-8.83,2.47,112.45,3.38
20.0,6.48,2.36,-6.48,2.36,110.54,3.06
30.0,6.02,2.86,-5.93,3.03,106.21,2.95
40.0,5.77,3.48,-5.56,3.81,101.57,3.4
50.0,5.22,3.58,-4.57,4.38,101.64,3.92
60.0,5.64,3.79,-4.63,4.98,105.57,4.4
70.0,5.63,4.0,-3.26,6.09,107.39,3.75
80.0,5.99,4.06,-3.28,6.45,109.25,4.25
90.0,5.52,3.65,-2.01,6.31,119.0,4.49
100.0,9.53,5.49,9.53,5.49,115.61,4.06
