alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,83.49,36.92,-83.49,36.92,0.08,0.01
10.0,72.04,33.98,-68.49,40.67,0.08,0.0
20.0,72.18,20.82,-67.74,32.47,0.08,0.0
30.0,62.02,17.03,-52.13,37.67,0.08,0.0
40.0,57.06,8.25,-47.44,32.76,0.08,0.0
50.0,49.16,2.51,-29.51,39.39,0.08,0.0
60.0,42.93,5.14,-24.81,35.41,0.08,0.0
70.0,36.26,11.81,-15.41,34.88,0.08,0.0
80.0,29.0,17.62,-8.04,32.97,0.08,0.0
90.0,23.65,23.18,0.29,33.12,0.08,0.0
100.0,15.14,33.87,15.14,33.87,0.08,0.01
