alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,1.32,5.1,-1.32,5.1,0.64,0.04
10.0,10.73,11.63,6.16,14.58,0.64,0.03
20.0,20.66,12.17,13.63,19.73,0.64,0.05
30.0,30.74,11.17,19.81,26.02,0.64,0.01
40.0,37.28,11.36,22.69,31.68,0.63,0.01
50.0,40.47,12.79,25.39,34.02,0.64,0.02
60.0,44.28,14.39,19.62,42.22,0.63,0.01
70.0,44.86,18.89,21.11,43.86,0.64,0.03
80.0,37.79,23.69,13.74,42.43,0.64,0.04
90.0,25.51,24.98,4.4,35.43,0.64,0.03
100.0,13.21,31.66,13.21,31.66,0.63,0.01
