alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,17.13,2.93,-17.13,2.93,12.07,0.69
10.0,15.23,3.08,-15.23,3.08,11.97,0.67
20.0,12.96,3.15,-12.96,3.15,12.29,0.72
30.0,11.24,3.27,-11.24,3.27,12.14,0.64
40.0,13.25,6.04,-13.25,6.04,11.88,0.72
50.0,13.21,2.09,-13.21,2.09,11.68,0.69
60.0,9.78,2.07,-9.78,2.07,12.55,0.73
70.0,6.97,2.45,-6.97,2.45,13.19,0.68
80.0,4.38,2.13,-4.22,2.42,13.42,0.76
90.0,6.54,10.64,5.27,11.32,14.05,1.15
100.0,42.46,14.06,42.46,14.06,12.06,0.92
