alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,28.24,0.47,-28.24,0.47,390.85,24.34
10.0,26.59,0.91,-26.59,0.91,395.38,18.63
20.0,24.7,1.15,-24.7,1.15,258.49,103.27
30.0,21.52,3.47,-21.52,3.47,180.69,5.52
40.0,20.4,2.27,-20.4,2.27,185.54,6.17
50.0,18.24,2.5,-18.24,2.5,182.22,5.15
60.0,15.18,2.76,-15.18,2.76,183.47,5.77
70.0,10.78,3.2,-10.78,3.2,184.55,6.66
80.0,9.91,3.54,-9.9,3.58,182.74,6.29
90.0,5.63,2.24,-5.51,2.51,183.46,7.85
100.0,2.12,3.38,2.12,3.38,182.39,7.54
