alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,6.09,1.25,-6.09,1.25,7.11,0.34
10.0,4.99,1.82,-4.88,2.08,7.1,0.33
20.0,4.0,2.28,-3.91,2.43,7.15,0.31
30.0,3.42,2.31,-2.77,3.05,7.45,0.32
40.0,3.23,2.45,1.25,3.85,7.71,0.33
50.0,2.58,1.96,-0.49,3.2,7.66,0.43
60.0,3.95,3.36,3.36,3.95,7.89,0.33
70.0,4.58,3.31,3.24,4.62,7.91,0.38
80.0,4.18,3.61,3.74,4.06,8.06,0.38
90.0,6.41,8.86,6.41,8.86,8.0,0.36
100.0,44.39,24.93,44.39,24.93,7.58,0.42
