alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,98.9,1.37,-98.9,1.37,0.76,0.03
10.0,87.58,5.83,-87.58,5.83,0.78,0.05
20.0,79.13,1.61,-79.13,1.61,0.77,0.03
30.0,68.95,1.58,-68.95,1.58,0.78,0.04
40.0,59.37,1.08,-59.37,1.08,0.77,0.04
50.0,48.62,1.73,-48.62,1.73,0.77,0.04
60.0,39.17,1.88,-39.17,1.88,0.78,0.02
70.0,28.92,1.85,-28.92,1.85,0.79,0.04
80.0,18.8,2.02,-18.8,2.02,0.79,0.05
90.0,9.37,1.02,-9.37,1.02,0.78,0.04
100.0,0.43,0.98,0.43,0.98,0.76,0.04
