alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,21.47,1.86,-21.47,1.86,75.61,6.69
10.0,18.21,3.77,-18.21,3.77,72.57,6.61
20.0,17.22,5.5,-17.22,5.5,73.11,6.11
30.0,12.72,6.25,-12.72,6.25,73.22,7.68
40.0,12.06,6.58,-10.55,8.81,72.02,5.84
50.0,11.56,3.26,-7.59,9.3,74.16,7.06
60.0,11.23,3.67,-5.92,10.23,73.58,9.73
70.0,8.53,6.59,-3.16,10.3,73.7,6.9
80.0,10.96,8.79,-0.2,14.05,74.29,7.41
90.0,7.02,7.37,-1.18,10.11,72.77,4.78
100.0,6.43,9.15,6.43,9.15,72.63,7.12
