alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,17.6,1.01,-17.6,1.01,66.83,7.23
10.0,15.56,1.55,-15.56,1.55,66.23,6.18
20.0,13.5,1.74,-13.5,1.74,69.51,7.06
30.0,11.35,2.03,-11.35,2.03,66.07,7.23
40.0,12.21,5.76,-12.21,5.76,67.54,8.44
50.0,13.17,1.17,-13.17,1.17,64.92,8.02
60.0,9.03,1.07,-9.03,1.07,69.0,8.92
70.0,5.93,1.82,-5.93,1.82,73.1,8.38
80.0,2.79,1.71,-1.64,2.83,75.14,8.32
90.0,15.39,16.66,15.39,16.66,75.46,11.28
100.0,44.35,13.94,44.35,13.94,69.8,7.83
