alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,1.47,0.07,-1.47,0.07,43.28,2.37
10.0,3.02,0.86,-3.02,0.86,43.79,3.53
20.0,4.45,1.59,-4.45,1.59,43.46,3.01
30.0,5.77,2.11,-5.77,2.11,42.65,2.76
40.0,6.23,2.5,-6.23,2.5,44.27,3.04
50.0,6.85,3.3,-6.85,3.3,43.8,2.39
60.0,8.06,3.49,-8.06,3.49,42.87,2.85
70.0,9.47,5.08,-9.38,5.23,44.79,3.2
80.0,9.67,4.82,-9.54,5.07,45.4,3.55
90.0,6.44,3.03,-5.52,4.5,44.6,2.97
100.0,1.03,1.91,1.03,1.91,43.02,2.8
