alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,4.96,0.9,-4.96,0.9,0.99,0.01
10.0,6.94,2.4,-6.94,2.4,0.98,0.01
20.0,10.69,3.4,-10.69,3.4,0.96,0.01
30.0,13.94,4.85,-13.94,4.85,0.97,0.01
40.0,20.22,10.81,-20.22,10.81,0.96,0.01
50.0,25.78,10.55,-25.78,10.55,0.96,0.01
60.0,23.18,11.46,-23.18,11.46,0.95,0.02
70.0,22.82,9.62,-22.29,10.79,0.96,0.01
80.0,17.02,5.13,-14.54,10.23,0.95,0.02
90.0,9.37,2.95,-5.17,8.36,0.96,0.02
100.0,5.63,8.52,5.63,8.52,0.96,0.02
