alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,23.85,2.05,-23.85,2.05,43.57,4.57
10.0,19.73,4.97,-19.73,4.97,44.11,4.72
20.0,14.79,6.92,-14.79,6.92,43.86,5.16
30.0,9.86,9.01,-9.81,9.08,43.38,5.28
40.0,12.06,7.26,-7.35,12.01,43.76,3.64
50.0,14.94,4.25,-1.54,15.45,43.41,3.01
60.0,15.46,5.97,-2.49,16.38,44.96,5.29
70.0,13.8,8.73,-6.39,15.03,43.98,3.29
80.0,12.46,9.12,-5.25,14.52,43.86,4.85
90.0,6.14,3.68,-4.44,5.61,43.25,4.16
100.0,3.6,5.68,3.6,5.68,43.88,4.81
