alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,8.08,1.05,-8.08,1.05,19.7,2.61
10.0,4.19,1.14,-4.19,1.14,20.55,2.26
20.0,3.65,1.39,-3.65,1.39,22.06,2.2
30.0,2.16,1.43,-2.1,1.52,21.05,2.87
40.0,2.16,1.25,-1.95,1.56,21.47,2.04
50.0,1.68,1.42,-0.05,2.2,21.3,3.75
60.0,3.75,3.37,3.49,3.64,23.26,2.13
70.0,8.64,4.02,8.64,4.02,22.84,2.17
80.0,20.93,13.04,20.93,13.04,20.03,4.12
90.0,72.07,18.15,72.07,18.15,17.76,3.47
100.0,87.93,15.76,87.93,15.76,16.32,3.16
