alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,64.0,48.0,-64.0,48.0,0.79,0.13
10.0,76.86,30.25,-74.44,35.8,0.58,0.11
20.0,72.27,21.07,-68.62,30.96,0.69,0.13
30.0,60.68,18.84,-51.41,37.34,0.76,0.15
40.0,55.19,11.2,-45.7,32.91,0.72,0.19
50.0,48.52,5.22,-43.54,22.03,0.72,0.11
60.0,41.28,3.8,-22.78,34.63,0.71,0.14
70.0,35.73,10.61,-9.94,35.92,0.82,0.16
80.0,29.86,17.62,-0.61,34.67,0.73,0.2
90.0,21.0,21.97,4.9,30.0,0.78,0.17
100.0,11.63,26.88,11.63,26.88,0.79,0.16
