alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,0.0,0.0,-0.0,0.0,1.24,0.21
10.0,1.67,0.82,-1.67,0.82,1.35,0.27
20.0,2.36,1.1,-2.35,1.11,1.34,0.18
30.0,3.36,1.35,-3.36,1.35,1.38,0.16
40.0,3.64,1.4,-3.46,1.79,1.27,0.25
50.0,3.77,1.83,-3.7,1.96,1.36,0.16
60.0,3.74,1.8,-3.74,1.8,1.3,0.22
70.0,3.34,1.23,-3.14,1.68,1.08,0.32
80.0,2.05,1.12,0.2,2.33,1.08,0.25
90.0,3.91,1.91,3.78,2.17,1.05,0.22
100.0,9.43,2.58,9.43,2.58,0.87,0.19
