alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,16.68,1.83,-16.68,1.83,0.12,0.03
10.0,14.86,2.09,-14.86,2.09,0.12,0.03
20.0,13.6,2.44,-13.6,2.44,0.12,0.02
30.0,12.0,2.39,-12.0,2.39,0.12,0.03
40.0,10.65,2.24,-10.65,2.24,0.13,0.03
50.0,10.16,2.7,-10.16,2.7,0.12,0.02
60.0,6.77,3.02,-6.77,3.02,0.12,0.03
70.0,4.99,2.52,-4.64,3.11,0.13,0.03
80.0,3.7,2.52,-3.63,2.62,0.13,0.04
90.0,2.92,2.19,-1.65,3.26,0.13,0.03
100.0,1.81,2.84,1.81,2.84,0.12,0.03
