alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,7.29,1.51,-7.29,1.51,0.21,0.01
10.0,2.56,1.97,-0.85,3.11,0.21,0.01
20.0,4.85,2.92,4.3,3.68,0.2,0.0
30.0,11.69,5.64,11.69,5.64,0.2,0.0
40.0,18.43,6.27,18.43,6.27,0.21,0.0
50.0,28.07,7.83,28.07,7.83,0.21,0.0
60.0,32.83,8.46,32.83,8.46,0.21,0.01
70.0,41.93,8.71,41.93,8.71,0.21,0.01
80.0,52.38,11.72,52.38,11.72,0.21,0.0
90.0,55.79,11.05,55.79,11.05,0.21,0.0
100.0,64.38,10.23,64.38,10.23,0.2,0.0
