alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,28.68,0.46,-28.68,0.46,98.64,2.31
10.0,25.51,1.37,-25.51,1.37,97.44,1.45
20.0,22.45,2.07,-22.45,2.07,97.7,1.93
30.0,19.42,4.05,-19.42,4.05,99.05,2.3
40.0,19.38,6.93,-19.38,6.93,99.86,2.67
50.0,16.97,7.33,-16.97,7.33,98.41,2.19
60.0,13.38,8.1,-13.38,8.1,98.31,2.57
70.0,10.91,6.36,-10.83,6.49,99.21,2.55
80.0,10.9,3.15,-7.72,8.31,98.23,1.8
90.0,6.91,2.38,-6.46,3.42,100.66,2.53
100.0,0.78,1.18,0.78,1.18,98.45,1.85
