alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,23.86,1.74,-23.86,1.74,43.59,3.29
10.0,21.4,2.29,-21.4,2.29,42.56,3.4
20.0,19.65,2.62,-19.65,2.62,43.7,3.22
30.0,16.7,2.99,-16.7,2.99,43.78,2.91
40.0,14.87,3.75,-14.87,3.75,43.48,2.82
50.0,11.5,4.09,-11.5,4.09,44.73,3.2
60.0,8.49,4.1,-8.36,4.35,42.97,3.55
70.0,6.34,4.05,-5.51,5.12,42.49,3.42
80.0,4.48,3.41,-1.33,5.47,44.02,3.33
90.0,6.05,3.12,5.46,4.07,45.84,3.13
100.0,10.97,5.27,10.97,5.27,42.78,2.88
