alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,1.85,1.02,-1.85,1.02,24.1,0.41
10.0,2.32,1.24,-2.22,1.42,25.04,0.91
20.0,2.72,1.95,-2.6,2.11,23.99,0.41
30.0,3.14,2.01,-2.44,2.83,24.23,0.5
40.0,4.18,2.94,-2.88,4.21,24.15,0.53
50.0,4.07,2.7,-2.89,3.93,25.1,1.14
60.0,4.16,2.89,-3.63,3.53,24.43,0.55
70.0,3.16,2.59,0.16,4.08,24.2,0.57
80.0,3.76,2.57,1.12,4.42,24.07,0.41
90.0,5.01,3.93,3.65,5.23,25.2,1.52
100.0,14.13,5.57,14.13,5.57,24.49,0.75
