alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,20.25,1.31,-20.25,1.31,25.07,3.85
10.0,15.94,1.23,-15.94,1.23,25.14,2.49
20.0,13.62,1.48,-13.62,1.48,26.17,3.13
30.0,10.74,2.33,-10.74,2.33,25.06,2.98
40.0,8.26,2.77,-8.26,2.77,24.43,2.89
50.0,4.26,2.03,-4.09,2.37,25.65,2.95
60.0,3.56,6.48,1.88,7.15,22.88,3.24
70.0,12.57,13.02,12.57,13.02,23.63,3.95
80.0,39.18,16.34,39.18,16.34,18.7,4.42
90.0,72.39,15.77,72.39,15.77,19.72,3.64
100.0,89.52,13.35,89.52,13.35,17.2,3.33
