alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,5.55,1.34,-5.55,1.34,0.34,0.03
10.0,10.66,3.07,-10.66,3.07,0.35,0.03
20.0,18.99,4.25,-18.99,4.25,0.32,0.04
30.0,21.14,3.89,-21.14,3.89,0.34,0.02
40.0,23.97,3.97,-23.97,3.97,0.35,0.03
50.0,24.44,4.15,-24.44,4.15,0.39,0.03
60.0,24.53,3.29,-24.53,3.29,0.33,0.03
70.0,24.61,3.87,-24.61,3.87,0.33,0.03
80.0,18.67,1.87,-18.67,1.87,0.35,0.03
90.0,9.92,0.29,-9.92,0.29,0.34,0.02
100.0,0.0,0.02,0.0,0.02,0.31,0.02
