alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,13.16,2.1,-13.16,2.1,0.36,0.08
10.0,15.54,3.53,-15.54,3.53,0.35,0.08
20.0,15.96,2.56,-15.96,2.56,0.33,0.07
30.0,16.01,2.44,-16.01,2.44,0.35,0.07
40.0,14.97,2.34,-14.97,2.34,0.35,0.07
50.0,15.45,2.04,-15.45,2.04,0.33,0.07
60.0,13.14,2.13,-13.14,2.13,0.37,0.09
70.0,10.01,1.67,-10.01,1.67,0.35,0.09
80.0,5.94,1.48,-5.94,1.48,0.35,0.08
90.0,1.44,1.12,-1.34,1.23,0.33,0.06
100.0,6.4,1.61,6.4,1.61,0.4,0.11
