alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,0.0,0.0,-0.0,0.0,0.83,0.04
10.0,7.24,0.53,7.24,0.53,0.88,0.03
20.0,10.32,2.32,10.32,2.32,0.89,0.01
30.0,11.75,4.15,11.63,4.47,0.82,0.03
40.0,10.65,5.09,10.09,6.13,0.9,0.04
50.0,13.01,8.25,7.1,13.67,0.94,0.04
60.0,16.64,9.33,5.16,18.36,0.88,0.02
70.0,17.19,10.96,-2.98,20.17,0.91,0.02
80.0,15.3,7.87,-3.16,16.91,0.94,0.04
90.0,10.7,4.88,-3.16,11.33,1.0,0.04
100.0,3.62,7.76,3.62,7.76,0.96,0.04
